Date,Product,Quantity,Selling_Price,Cost_Price
12-01-2026,Laptop,2,60000,48000
12-01-2026,Mouse,10,800,400
12-01-2026,Keyboard,5,1500,900
12-01-2026,Monitor,3,18000,14000
12-01-2026,Tablet,4,30000,24000
13-01-2026,Laptop,2,60000,48000
13-01-2026,Mouse,10,800,400
13-01-2026,Keyboard,5,1500,900
13-01-2026,Monitor,3,18000,14000
13-01-2026,Tablet,4,30000,24000
14-01-2026,Laptop,2,60000,48000
14-01-2026,Mouse,10,800,400
14-01-2026,Keyboard,5,1500,900
14-01-2026,Monitor,3,18000,14000
14-01-2026,Tablet,4,30000,24000
15-01-2026,Laptop,2,60000,48000
15-01-2026,Mouse,10,800,400
15-01-2026,Keyboard,5,1500,900
15-01-2026,Monitor,3,18000,14000
15-01-2026,Tablet,4,30000,24000
16-01-2026,Laptop,2,60000,48000
16-01-2026,Mouse,10,800,400
16-01-2026,Keyboard,5,1500,900
16-01-2026,Monitor,3,18000,14000
16-01-2026,Tablet,4,30000,24000
17-01-2026,Laptop,2,60000,48000
17-01-2026,Mouse,10,800,400
17-01-2026,Keyboard,5,1500,900
17-01-2026,Monitor,3,18000,14000
17-01-2026,Tablet,4,30000,24000
18-01-2026,Laptop,2,60000,48000
18-01-2026,Mouse,10,800,400
18-01-2026,Keyboard,5,1500,900
18-01-2026,Monitor,3,18000,14000
18-01-2026,Tablet,4,30000,24000
19-01-2026,Laptop,2,60000,48000
19-01-2026,Mouse,10,800,400
19-01-2026,Keyboard,5,1500,900
19-01-2026,Monitor,3,18000,14000
19-01-2026,Tablet,4,30000,24000
20-01-2026,Laptop,2,60000,48000
20-01-2026,Mouse,10,800,400
20-01-2026,Keyboard,5,1500,900
20-01-2026,Monitor,3,18000,14000
20-01-2026,Tablet,4,30000,24000
21-01-2026,Laptop,2,60000,48000
21-01-2026,Mouse,10,800,400
21-01-2026,Keyboard,5,1500,900
21-01-2026,Monitor,3,18000,14000
21-01-2026,Tablet,4,30000,24000
22-01-2026,Laptop,2,60000,48000
22-01-2026,Mouse,10,800,400
22-01-2026,Keyboard,5,1500,900
22-01-2026,Monitor,3,18000,14000
22-01-2026,Tablet,4,30000,24000
23-01-2026,Laptop,2,60000,48000
23-01-2026,Mouse,10,800,400
23-01-2026,Keyboard,5,1500,900
23-01-2026,Monitor,3,18000,14000
23-01-2026,Tablet,4,30000,24000
24-01-2026,Laptop,2,60000,48000
24-01-2026,Mouse,10,800,400
24-01-2026,Keyboard,5,1500,900
24-01-2026,Monitor,3,18000,14000
24-01-2026,Tablet,4,30000,24000
25-01-2026,Laptop,2,60000,48000
25-01-2026,Mouse,10,800,400
25-01-2026,Keyboard,5,1500,900
25-01-2026,Monitor,3,18000,14000
25-01-2026,Tablet,4,30000,24000
26-01-2026,Laptop,2,60000,48000
26-01-2026,Mouse,10,800,400
26-01-2026,Keyboard,5,1500,900
26-01-2026,Monitor,3,18000,14000
26-01-2026,Tablet,4,30000,24000
27-01-2026,Laptop,2,60000,48000
27-01-2026,Mouse,10,800,400
27-01-2026,Keyboard,5,1500,900
27-01-2026,Monitor,3,18000,14000
27-01-2026,Tablet,4,30000,24000
28-01-2026,Laptop,2,60000,48000
28-01-2026,Mouse,10,800,400
28-01-2026,Keyboard,5,1500,900
28-01-2026,Monitor,3,18000,14000
28-01-2026,Tablet,4,30000,24000
29-01-2026,Laptop,2,60000,48000
29-01-2026,Mouse,10,800,400
29-01-2026,Keyboard,5,1500,900
29-01-2026,Monitor,3,18000,14000
29-01-2026,Tablet,4,30000,24000
30-01-2026,Laptop,2,60000,48000
30-01-2026,Mouse,10,800,400
30-01-2026,Keyboard,5,1500,900
30-01-2026,Monitor,3,18000,14000
30-01-2026,Tablet,4,30000,24000
31-01-2026,Laptop,2,60000,48000
31-01-2026,Mouse,10,800,400
31-01-2026,Keyboard,5,1500,900
31-01-2026,Monitor,3,18000,14000
31-01-2026,Tablet,4,30000,24000
01-02-2026,Laptop,2,60000,48000
01-02-2026,Mouse,10,800,400
01-02-2026,Keyboard,5,1500,900
01-02-2026,Monitor,3,18000,14000
01-02-2026,Tablet,4,30000,24000
02-02-2026,Laptop,2,60000,48000
02-02-2026,Mouse,10,800,400
02-02-2026,Keyboard,5,1500,900
02-02-2026,Monitor,3,18000,14000
02-02-2026,Tablet,4,30000,24000
03-02-2026,Laptop,2,60000,48000
03-02-2026,Mouse,10,800,400
03-02-2026,Keyboard,5,1500,900
03-02-2026,Monitor,3,18000,14000
03-02-2026,Tablet,4,30000,24000
04-02-2026,Laptop,2,60000,48000
04-02-2026,Mouse,10,800,400
04-02-2026,Keyboard,5,1500,900
04-02-2026,Monitor,3,18000,14000
04-02-2026,Tablet,4,30000,24000
05-02-2026,Laptop,2,60000,48000
05-02-2026,Mouse,10,800,400
05-02-2026,Keyboard,5,1500,900
05-02-2026,Monitor,3,18000,14000
05-02-2026,Tablet,4,30000,24000
06-02-2026,Laptop,2,60000,48000
06-02-2026,Mouse,10,800,400
06-02-2026,Keyboard,5,1500,900
06-02-2026,Monitor,3,18000,14000
06-02-2026,Tablet,4,30000,24000
07-02-2026,Laptop,2,60000,48000
07-02-2026,Mouse,10,800,400
07-02-2026,Keyboard,5,1500,900
07-02-2026,Monitor,3,18000,14000
07-02-2026,Tablet,4,30000,24000
08-02-2026,Laptop,2,60000,48000
08-02-2026,Mouse,10,800,400
08-02-2026,Keyboard,5,1500,900
08-02-2026,Monitor,3,18000,14000
08-02-2026,Tablet,4,30000,24000
09-02-2026,Laptop,2,60000,48000
09-02-2026,Mouse,10,800,400
09-02-2026,Keyboard,5,1500,900
09-02-2026,Monitor,3,18000,14000
09-02-2026,Tablet,4,30000,24000
10-02-2026,Laptop,2,60000,48000
10-02-2026,Mouse,10,800,400
10-02-2026,Keyboard,5,1500,900
10-02-2026,Monitor,3,18000,14000
10-02-2026,Tablet,4,30000,24000
11-02-2026,Laptop,2,60000,48000
11-02-2026,Mouse,10,800,400
11-02-2026,Keyboard,5,1500,900
11-02-2026,Monitor,3,18000,14000
11-02-2026,Tablet,4,30000,24000
12-02-2026,Laptop,2,60000,48000
12-02-2026,Mouse,10,800,400
12-02-2026,Keyboard,5,1500,900
12-02-2026,Monitor,3,18000,14000
12-02-2026,Tablet,4,30000,24000
13-02-2026,Laptop,2,60000,48000
13-02-2026,Mouse,10,800,400
13-02-2026,Keyboard,5,1500,900
13-02-2026,Monitor,3,18000,14000
13-02-2026,Tablet,4,30000,24000
14-02-2026,Laptop,2,60000,48000
14-02-2026,Mouse,10,800,400
14-02-2026,Keyboard,5,1500,900
14-02-2026,Monitor,3,18000,14000
14-02-2026,Tablet,4,30000,24000
15-02-2026,Laptop,2,60000,48000
15-02-2026,Mouse,10,800,400
15-02-2026,Keyboard,5,1500,900
15-02-2026,Monitor,3,18000,14000
15-02-2026,Tablet,4,30000,24000
16-02-2026,Laptop,2,60000,48000
16-02-2026,Mouse,10,800,400
16-02-2026,Keyboard,5,1500,900
16-02-2026,Monitor,3,18000,14000
16-02-2026,Tablet,4,30000,24000
17-02-2026,Laptop,2,60000,48000
17-02-2026,Mouse,10,800,400
17-02-2026,Keyboard,5,1500,900
17-02-2026,Monitor,3,18000,14000
17-02-2026,Tablet,4,30000,24000
18-02-2026,Laptop,2,60000,48000
18-02-2026,Mouse,10,800,400
18-02-2026,Keyboard,5,1500,900
18-02-2026,Monitor,3,18000,14000
18-02-2026,Tablet,4,30000,24000
19-02-2026,Laptop,2,60000,48000
19-02-2026,Mouse,10,800,400
19-02-2026,Keyboard,5,1500,900
19-02-2026,Monitor,3,18000,14000
19-02-2026,Tablet,4,30000,24000
20-02-2026,Laptop,2,60000,48000
20-02-2026,Mouse,10,800,400
20-02-2026,Keyboard,5,1500,900
20-02-2026,Monitor,3,18000,14000
20-02-2026,Tablet,4,30000,24000
21-02-2026,Laptop,2,60000,48000
21-02-2026,Mouse,10,800,400
21-02-2026,Keyboard,5,1500,900
21-02-2026,Monitor,3,18000,14000
21-02-2026,Tablet,4,30000,24000
22-02-2026,Laptop,2,60000,48000
22-02-2026,Mouse,10,800,400
22-02-2026,Keyboard,5,1500,900
22-02-2026,Monitor,3,18000,14000
22-02-2026,Tablet,4,30000,24000
23-02-2026,Laptop,2,60000,48000
23-02-2026,Mouse,10,800,400
23-02-2026,Keyboard,5,1500,900
23-02-2026,Monitor,3,18000,14000
23-02-2026,Tablet,4,30000,24000
24-02-2026,Laptop,2,60000,48000
24-02-2026,Mouse,10,800,400
24-02-2026,Keyboard,5,1500,900
24-02-2026,Monitor,3,18000,14000
24-02-2026,Tablet,4,30000,24000
25-02-2026,Laptop,2,60000,48000
25-02-2026,Mouse,10,800,400
25-02-2026,Keyboard,5,1500,900
25-02-2026,Monitor,3,18000,14000
25-02-2026,Tablet,4,30000,24000
26-02-2026,Laptop,2,60000,48000
26-02-2026,Mouse,10,800,400
26-02-2026,Keyboard,5,1500,900
26-02-2026,Monitor,3,18000,14000
26-02-2026,Tablet,4,30000,24000
27-02-2026,Laptop,2,60000,48000
27-02-2026,Mouse,10,800,400
27-02-2026,Keyboard,5,1500,900
27-02-2026,Monitor,3,18000,14000
27-02-2026,Tablet,4,30000,24000
28-02-2026,Laptop,2,60000,48000
28-02-2026,Mouse,10,800,400
28-02-2026,Keyboard,5,1500,900
28-02-2026,Monitor,3,18000,14000
28-02-2026,Tablet,4,30000,24000
01-03-2026,Laptop,2,60000,48000
01-03-2026,Mouse,10,800,400
01-03-2026,Keyboard,5,1500,900
01-03-2026,Monitor,3,18000,14000
01-03-2026,Tablet,4,30000,24000
02-03-2026,Laptop,2,60000,48000
02-03-2026,Mouse,10,800,400
02-03-2026,Keyboard,5,1500,900
02-03-2026,Monitor,3,18000,14000
02-03-2026,Tablet,4,30000,24000
03-03-2026,Laptop,2,60000,48000
03-03-2026,Mouse,10,800,400
03-03-2026,Keyboard,5,1500,900
03-03-2026,Monitor,3,18000,14000
03-03-2026,Tablet,4,30000,24000
04-03-2026,Laptop,2,60000,48000
04-03-2026,Mouse,10,800,400
04-03-2026,Keyboard,5,1500,900
04-03-2026,Monitor,3,18000,14000
04-03-2026,Tablet,4,30000,24000
05-03-2026,Laptop,2,60000,48000
05-03-2026,Mouse,10,800,400
05-03-2026,Keyboard,5,1500,900
05-03-2026,Monitor,3,18000,14000
05-03-2026,Tablet,4,30000,24000
06-03-2026,Laptop,2,60000,48000
06-03-2026,Mouse,10,800,400
06-03-2026,Keyboard,5,1500,900
06-03-2026,Monitor,3,18000,14000
06-03-2026,Tablet,4,30000,24000
07-03-2026,Laptop,2,60000,48000
07-03-2026,Mouse,10,800,400
07-03-2026,Keyboard,5,1500,900
07-03-2026,Monitor,3,18000,14000
07-03-2026,Tablet,4,30000,24000
08-03-2026,Laptop,2,60000,48000
08-03-2026,Mouse,10,800,400
08-03-2026,Keyboard,5,1500,900
08-03-2026,Monitor,3,18000,14000
08-03-2026,Tablet,4,30000,24000
09-03-2026,Laptop,2,60000,48000
09-03-2026,Mouse,10,800,400
09-03-2026,Keyboard,5,1500,900
09-03-2026,Monitor,3,18000,14000
09-03-2026,Tablet,4,30000,24000
10-03-2026,Laptop,2,60000,48000
10-03-2026,Mouse,10,800,400
10-03-2026,Keyboard,5,1500,900
10-03-2026,Monitor,3,18000,14000
10-03-2026,Tablet,4,30000,24000
11-03-2026,Laptop,2,60000,48000
11-03-2026,Mouse,10,800,400
11-03-2026,Keyboard,5,1500,900
11-03-2026,Monitor,3,18000,14000
11-03-2026,Tablet,4,30000,24000
12-03-2026,Laptop,2,60000,48000
12-03-2026,Mouse,10,800,400
12-03-2026,Keyboard,5,1500,900
12-03-2026,Monitor,3,18000,14000
12-03-2026,Tablet,4,30000,24000
13-03-2026,Laptop,2,60000,48000
13-03-2026,Mouse,10,800,400
13-03-2026,Keyboard,5,1500,900
13-03-2026,Monitor,3,18000,14000
13-03-2026,Tablet,4,30000,24000
14-03-2026,Laptop,2,60000,48000
14-03-2026,Mouse,10,800,400
14-03-2026,Keyboard,5,1500,900
14-03-2026,Monitor,3,18000,14000
14-03-2026,Tablet,4,30000,24000
15-03-2026,Laptop,2,60000,48000
15-03-2026,Mouse,10,800,400
15-03-2026,Keyboard,5,1500,900
15-03-2026,Monitor,3,18000,14000
15-03-2026,Tablet,4,30000,24000
16-03-2026,Laptop,2,60000,48000
16-03-2026,Mouse,10,800,400
16-03-2026,Keyboard,5,1500,900
16-03-2026,Monitor,3,18000,14000
16-03-2026,Tablet,4,30000,24000
17-03-2026,Laptop,2,60000,48000
17-03-2026,Mouse,10,800,400
17-03-2026,Keyboard,5,1500,900
17-03-2026,Monitor,3,18000,14000
17-03-2026,Tablet,4,30000,24000
18-03-2026,Laptop,2,60000,48000
18-03-2026,Mouse,10,800,400
18-03-2026,Keyboard,5,1500,900
18-03-2026,Monitor,3,18000,14000
18-03-2026,Tablet,4,30000,24000
19-03-2026,Laptop,2,60000,48000
19-03-2026,Mouse,10,800,400
19-03-2026,Keyboard,5,1500,900
19-03-2026,Monitor,3,18000,14000
19-03-2026,Tablet,4,30000,24000
20-03-2026,Laptop,2,60000,48000
20-03-2026,Mouse,10,800,400
20-03-2026,Keyboard,5,1500,900
20-03-2026,Monitor,3,18000,14000
20-03-2026,Tablet,4,30000,24000
21-03-2026,Laptop,2,60000,48000
21-03-2026,Mouse,10,800,400
21-03-2026,Keyboard,5,1500,900
21-03-2026,Monitor,3,18000,14000
21-03-2026,Tablet,4,30000,24000
